date,product_cd,category,price,count,factory_cd,flg,test,dummy
2025-06-03,productA,typeA,100,1,fcC,0,test,dummy
2025-06-03,productB,typeA,200,2,fcC,,test,dummy
2025-06-04,productC,typeA,300,3,fcD,,test,dummy
2025-06-04,productD,typeA,400,4,fcC,1,test,dummy
2025-06-05,productE,typeA,500,5,fcA,1,test,dummy
2025-06-05,productA,typeA,100,1,fcB,0,test,dummy
2025-06-01,productB,typeA,200,2,fcA,0,test,dummy
2025-06-02,productC,typeA,300,3,fcE,1,test,dummy
2025-06-03,productE,typeA,500,4,fcB,0,test,dummy
2025-06-04,productE,typeB,500,5,fcB,0,test,dummy
